Regiao,Ano,Cobertura
Norte,2002,0.12
Nordeste,2002,0.12
Sudeste,2002,0.26
Sul,2002,0.29
Centro-Oeste,2002,0.14
Norte,2005,0.22
Nordeste,2005,0.32
Sudeste,2005,0.42
Sul,2005,0.51
Centro-Oeste,2005,0.28
Norte,2007,0.28
Nordeste,2007,0.48
Sudeste,2007,0.56
Sul,2007,0.68
Centro-Oeste,2007,0.38
Norte,2009,0.32
Nordeste,2009,0.68
Sudeste,2009,0.62
Sul,2009,0.78
Centro-Oeste,2009,0.44
Norte,2010,0.38
Nordeste,2010,0.81
Sudeste,2010,0.54
Sul,2010,0.82
Centro-Oeste,2010,0.48
Norte,2012,0.42
Nordeste,2012,0.88
Sudeste,2012,0.67
Sul,2012,0.95
Centro-Oeste,2012,0.58
Norte,2015,0.48
Nordeste,2015,0.95
Sudeste,2015,0.89
Sul,2015,1.08
Centro-Oeste,2015,0.75
